Index,Points,Expansions,PlayerCount,Platform,A Sickening Lurch,Arborec,Argent Flight,Avarice Rex,Barony of Letnev,Clan of Saar,Crimson Rebellion,Deepwrought Scholarate,El Nen Janovet,Embers of Muaat,Emirates of Hacan,Empyrean,Expansions_y,Federation of Sol,Firmament,Ghosts of Creuss,Il Na Viroset,"Il Sai Lakoe, Herald of Thorns",Keleres Argent,Keleres Mentak,KeleresMentakArgent,KeleresMentakMentak,KeleresMentakXxcha,Keleres Xxcha,L1Z1X Mindnet,Last Bastion,Mahact Gene-Sorcerers,Mentak Coalition,Naalu Collective,Naaz-Rokha Alliance,Nekro Virus,Nomad,Obsidian,Platform_y,PlayerCount_y,Radiant Aur,Ral Nel Consortium,Ruby Monarch,Saint of Swords,Sardakk N'orr,Titans of Ul,Universities of Jol-Nar,Vuil'raith Cabal,Winnu,Xxcha Kingdom,Yin Brotherhood,Yssaril Tribes
4721,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,1,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4725,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,1
4782,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4798,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
4812,10,Prophecy of Kings Only,6,Async,0,1,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4856,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,1,1,0,1,0,1
4906,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4912,10,Prophecy of Kings Only,6,Async,0,0,1,0,1,0,0,0,0,0,1,0,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4931,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,1
4940,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4946,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,0
4996,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
5002,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,1,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
5003,10,Prophecy of Kings Only,6,Async,0,1,1,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,1
5006,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5009,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,1,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
5062,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5126,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,1,0,1,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5166,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,1,1,1,0,1,0,0
5206,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,1,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5247,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,0
5343,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,1
5371,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,1,1,0
5378,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,1
5404,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
5450,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
5467,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,1,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,1,0,0
5491,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5504,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,1,0,0
5521,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
5553,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,1
5575,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,1
5584,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,1,0
5587,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Async,6,0,0,0,0,0,0,1,1,1,0,0,0
5588,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
5593,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,1,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5640,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,0,1
5657,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,1,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,1,0,0
5687,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5696,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
5705,10,Prophecy of Kings Only,6,Async,0,1,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,1,0
5744,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
5782,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
5785,10,Prophecy of Kings Only,6,Async,0,1,0,0,1,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
5788,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,1,0,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5817,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,1,0
5826,10,Prophecy of Kings Only,6,Async,0,1,1,0,1,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
5871,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
5897,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
5932,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,1,1,0,0,1,0
