Index,factionsInGame,Factions.1,Factions.2,Factions.3,Factions.4,Factions.5,Factions.6,Factions.7,Factions.8
566,"Il Sai Lakoe Herald of Thorns, A Sickening Lurch, Radiant Aur,","Il Sai Lakoe Herald of Thorns"," A Sickening Lurch"," Radiant Aur","","","","",""
579,"Titans of Ul, Vuil'raith Cabal, Nomad,","Titans of Ul"," Vuil'raith Cabal"," Nomad","","","","",""
613,"Winnu, Empyrean, Last Bastion,","Winnu"," Empyrean"," Last Bastion","","","","",""
626,"Last Bastion, Argent Flight, Yin Brotherhood,","Last Bastion"," Argent Flight"," Yin Brotherhood","","","","",""
635,"Avarice Rex, A Sickening Lurch, Radiant Aur,","Avarice Rex"," A Sickening Lurch"," Radiant Aur","","","","",""
645,"El Nen Janovet, Il Sai Lakoe Herald of Thorns, Avarice Rex,","El Nen Janovet"," Il Sai Lakoe Herald of Thorns"," Avarice Rex","","","","",""
646,"Radiant Aur, Avarice Rex, Il Na Viroset,","Radiant Aur"," Avarice Rex"," Il Na Viroset","","","","",""
649,"Xxcha Kingdom, Universities of Jol-Nar, Arborec,","Xxcha Kingdom"," Universities of Jol-Nar"," Arborec","","","","",""
667,"Yin Brotherhood, Universities of Jol-Nar, Sardakk N'orr,","Yin Brotherhood"," Universities of Jol-Nar"," Sardakk N'orr","","","","",""
686,"Keleres ~ Xxcha, Empyrean, Emirates of Hacan,","Keleres ~ Xxcha"," Empyrean"," Emirates of Hacan","","","","",""
699,"Ral Nel Consortium, Yssaril Tribes, Embers of Muaat,","Ral Nel Consortium"," Yssaril Tribes"," Embers of Muaat","","","","",""
706,"Winnu, Naaz-Rokha Alliance, Titans of Ul,","Winnu"," Naaz-Rokha Alliance"," Titans of Ul","","","","",""
708,"Empyrean, Argent Flight, Yin Brotherhood,","Empyrean"," Argent Flight"," Yin Brotherhood","","","","",""
711,"Emirates of Hacan, Naaz-Rokha Alliance, Federation of Sol,","Emirates of Hacan"," Naaz-Rokha Alliance"," Federation of Sol","","","","",""
715,"Winnu, Mahact Gene-Sorcerers, Naaz-Rokha Alliance,","Winnu"," Mahact Gene-Sorcerers"," Naaz-Rokha Alliance","","","","",""
738,"L1Z1X Mindnet, Keleres ~ Mentak, Embers of Muaat,","L1Z1X Mindnet"," Keleres ~ Mentak"," Embers of Muaat","","","","",""
750,"The Emirates of Hacan, The Vuil'raith Cabal, The Nekro Virus,","The Emirates of Hacan"," The Vuil'raith Cabal"," The Nekro Virus","","","","",""
762,"Winnu, Keleres ~ Mentak, Xxcha Kingdom,","Winnu"," Keleres ~ Mentak"," Xxcha Kingdom","","","","",""
766,"Clan of Saar, Naaz-Rokha Alliance, Ghosts of Creuss,","Clan of Saar"," Naaz-Rokha Alliance"," Ghosts of Creuss","","","","",""
783,"Embers of Muaat, Keleres ~ Argent, Emirates of Hacan,","Embers of Muaat"," Keleres ~ Argent"," Emirates of Hacan","","","","",""
798,"Yssaril Tribes, Barony of Letnev, Embers of Muaat,","Yssaril Tribes"," Barony of Letnev"," Embers of Muaat","","","","",""
801,"Keleres ~ Xxcha, Ghosts of Creuss, Arborec,","Keleres ~ Xxcha"," Ghosts of Creuss"," Arborec","","","","",""
845,"Crimson Rebellion, Mahact Gene-Sorcerers, Last Bastion,","Crimson Rebellion"," Mahact Gene-Sorcerers"," Last Bastion","","","","",""
851,"L1Z1X Mindnet, Sardakk N'orr, Ghosts of Creuss,","L1Z1X Mindnet"," Sardakk N'orr"," Ghosts of Creuss","","","","",""
862,"Il Sai Lakoe Herald of Thorns, Avarice Rex, Il Na Viroset,","Il Sai Lakoe Herald of Thorns"," Avarice Rex"," Il Na Viroset","","","","",""
864,"Winnu, Empyrean, Barony of Letnev,","Winnu"," Empyrean"," Barony of Letnev","","","","",""
902,"Ghosts of Creuss, Naalu Collective, Empyrean,","Ghosts of Creuss"," Naalu Collective"," Empyrean","","","","",""
920,"Xxcha Kingdom, Naaz-Rokha Alliance, Universities of Jol-Nar,","Xxcha Kingdom"," Naaz-Rokha Alliance"," Universities of Jol-Nar","","","","",""
994,"Embers of Muaat, Naaz-Rokha Alliance, Winnu,","Embers of Muaat"," Naaz-Rokha Alliance"," Winnu","","","","",""
1043,"Embers of Muaat, Ral Nel Consortium, Ghosts of Creuss,","Embers of Muaat"," Ral Nel Consortium"," Ghosts of Creuss","","","","",""
1045,"Vuil'raith Cabal, Embers of Muaat, Nomad,","Vuil'raith Cabal"," Embers of Muaat"," Nomad","","","","",""
1066,"Emirates of Hacan, Mahact Gene-Sorcerers, L1Z1X Mindnet,","Emirates of Hacan"," Mahact Gene-Sorcerers"," L1Z1X Mindnet","","","","",""
1079,"Vuil'raith Cabal, Mentak Coalition, Ghosts of Creuss,","Vuil'raith Cabal"," Mentak Coalition"," Ghosts of Creuss","","","","",""
1093,"Avarice Rex, El Nen Janovet, Il Na Viroset,","Avarice Rex"," El Nen Janovet"," Il Na Viroset","","","","",""
1099,"Vuil'raith Cabal, Arborec, Titans of Ul,","Vuil'raith Cabal"," Arborec"," Titans of Ul","","","","",""
1100,"Nomad, Arborec, Last Bastion,","Nomad"," Arborec"," Last Bastion","","","","",""
1142,"Last Bastion, Mahact Gene-Sorcerers, Vuil'raith Cabal,","Last Bastion"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","","",""
1145,"Winnu, Ghosts of Creuss, Naalu Collective,","Winnu"," Ghosts of Creuss"," Naalu Collective","","","","",""
1150,"El Nen Janovet, A Sickening Lurch, Avarice Rex,","El Nen Janovet"," A Sickening Lurch"," Avarice Rex","","","","",""
1151,"The Ruby Monarch, A Sickening Lurch, Il Na Viroset,","The Ruby Monarch"," A Sickening Lurch"," Il Na Viroset","","","","",""
1155,"Embers of Muaat, Mahact Gene-Sorcerers, Empyrean,","Embers of Muaat"," Mahact Gene-Sorcerers"," Empyrean","","","","",""
1234,"Federation of Sol, Embers of Muaat, Ghosts of Creuss,","Federation of Sol"," Embers of Muaat"," Ghosts of Creuss","","","","",""
1267,"The Ruby Monarch, El Nen Janovet, Avarice Rex,","The Ruby Monarch"," El Nen Janovet"," Avarice Rex","","","","",""
1271,"Embers of Muaat, Nekro Virus, Emirates of Hacan,","Embers of Muaat"," Nekro Virus"," Emirates of Hacan","","","","",""
1280,"Naalu Collective, Titans of Ul, Yin Brotherhood,","Naalu Collective"," Titans of Ul"," Yin Brotherhood","","","","",""
1285,"Federation of Sol, Last Bastion, Ghosts of Creuss,","Federation of Sol"," Last Bastion"," Ghosts of Creuss","","","","",""
1312,"Avarice Rex, A Sickening Lurch, El Nen Janovet,","Avarice Rex"," A Sickening Lurch"," El Nen Janovet","","","","",""
1362,"Clan of Saar, Mentak Coalition, Vuil'raith Cabal,","Clan of Saar"," Mentak Coalition"," Vuil'raith Cabal","","","","",""
1391,"Il Na Viroset, The Ruby Monarch, El Nen Janovet,","Il Na Viroset"," The Ruby Monarch"," El Nen Janovet","","","","",""
1410,"Winnu, Argent Flight, Titans of Ul,","Winnu"," Argent Flight"," Titans of Ul","","","","",""
1416,"Universities of Jol-Nar, Keleres ~ Argent, L1Z1X Mindnet,","Universities of Jol-Nar"," Keleres ~ Argent"," L1Z1X Mindnet","","","","",""
1436,"Yin Brotherhood, Argent Flight, Titans of Ul,","Yin Brotherhood"," Argent Flight"," Titans of Ul","","","","",""
1462,"A Sickening Lurch, The Ruby Monarch, Il Na Viroset,","A Sickening Lurch"," The Ruby Monarch"," Il Na Viroset","","","","",""
1479,"Federation of Sol, Naaz-Rokha Alliance, Yssaril Tribes,","Federation of Sol"," Naaz-Rokha Alliance"," Yssaril Tribes","","","","",""
1509,"Yin Brotherhood, Federation of Sol, Nekro Virus,","Yin Brotherhood"," Federation of Sol"," Nekro Virus","","","","",""
1539,"Firmament, Yin Brotherhood, Naalu Collective,","Firmament"," Yin Brotherhood"," Naalu Collective","","","","",""
1568,"The Ruby Monarch, Il Na Viroset, El Nen Janovet,","The Ruby Monarch"," Il Na Viroset"," El Nen Janovet","","","","",""
1586,"Arborec, Federation of Sol, Nekro Virus,","Arborec"," Federation of Sol"," Nekro Virus","","","","",""
1613,"Arborec, Xxcha Kingdom, Universities of Jol-Nar,","Arborec"," Xxcha Kingdom"," Universities of Jol-Nar","","","","",""
1616,"Embers of Muaat, Nomad, Mahact Gene-Sorcerers,","Embers of Muaat"," Nomad"," Mahact Gene-Sorcerers","","","","",""
1630,"Ghosts of Creuss, Embers of Muaat, Naaz-Rokha Alliance,","Ghosts of Creuss"," Embers of Muaat"," Naaz-Rokha Alliance","","","","",""
1689,"The Clan of Saar, The Mentak Coalition, The Yssaril Tribes,","The Clan of Saar"," The Mentak Coalition"," The Yssaril Tribes","","","","",""
1698,"Barony of Letnev, Ral Nel Consortium, Crimson Rebellion,","Barony of Letnev"," Ral Nel Consortium"," Crimson Rebellion","","","","",""
1701,"Keleres ~ Mentak, Clan of Saar, Ghosts of Creuss,","Keleres ~ Mentak"," Clan of Saar"," Ghosts of Creuss","","","","",""
1750,"Radiant Aur, A Sickening Lurch, Il Sai Lakoe Herald of Thorns,","Radiant Aur"," A Sickening Lurch"," Il Sai Lakoe Herald of Thorns","","","","",""
1756,"The Winnu, The Yssaril Tribes, The Ghosts of Creuss,","The Winnu"," The Yssaril Tribes"," The Ghosts of Creuss","","","","",""
1769,"Mentak Coalition, Nekro Virus, Vuil'raith Cabal,","Mentak Coalition"," Nekro Virus"," Vuil'raith Cabal","","","","",""
1770,"Nekro Virus, Federation of Sol, Embers of Muaat,","Nekro Virus"," Federation of Sol"," Embers of Muaat","","","","",""
1777,"Xxcha Kingdom, Titans of Ul, Winnu,","Xxcha Kingdom"," Titans of Ul"," Winnu","","","","",""
1781,"Ral Nel Consortium, Last Bastion, Keleres ~ Argent,","Ral Nel Consortium"," Last Bastion"," Keleres ~ Argent","","","","",""
1787,"Argent Flight, Sardakk N'orr, Crimson Rebellion,","Argent Flight"," Sardakk N'orr"," Crimson Rebellion","","","","",""
1827,"Yin Brotherhood, L1Z1X Mindnet, Embers of Muaat,","Yin Brotherhood"," L1Z1X Mindnet"," Embers of Muaat","","","","",""
1867,"Naaz-Rokha Alliance, Crimson Rebellion, Firmament,","Naaz-Rokha Alliance"," Crimson Rebellion"," Firmament","","","","",""
1895,"Yin Brotherhood, Keleres ~ Mentak, Ghosts of Creuss,","Yin Brotherhood"," Keleres ~ Mentak"," Ghosts of Creuss","","","","",""
1939,"Il Na Viroset, Il Sai Lakoe Herald of Thorns, Avarice Rex,","Il Na Viroset"," Il Sai Lakoe Herald of Thorns"," Avarice Rex","","","","",""
1950,"The Emirates of Hacan, The Winnu, The Mahact Gene-Sorcerers,","The Emirates of Hacan"," The Winnu"," The Mahact Gene-Sorcerers","","","","",""
1966,"Keleres ~ Mentak, Universities of Jol-Nar, Nomad,","Keleres ~ Mentak"," Universities of Jol-Nar"," Nomad","","","","",""
1989,"Nekro Virus, Naaz-Rokha Alliance, Mahact Gene-Sorcerers,","Nekro Virus"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers","","","","",""
1993,"Xxcha Kingdom, Federation of Sol, Empyrean,","Xxcha Kingdom"," Federation of Sol"," Empyrean","","","","",""
1995,"The Titans of Ul, The Xxcha Kingdom, The Empyrean,","The Titans of Ul"," The Xxcha Kingdom"," The Empyrean","","","","",""
2050,"Vuil'raith Cabal, Ral Nel Consortium, Embers of Muaat,","Vuil'raith Cabal"," Ral Nel Consortium"," Embers of Muaat","","","","",""
2054,"Avarice Rex, The Saint of Swords, A Sickening Lurch,","Avarice Rex"," The Saint of Swords"," A Sickening Lurch","","","","",""
2079,"Keleres ~ Argent, Mentak Coalition, Empyrean,","Keleres ~ Argent"," Mentak Coalition"," Empyrean","","","","",""
2084,"L1Z1X Mindnet, Arborec, Firmament,","L1Z1X Mindnet"," Arborec"," Firmament","","","","",""
2097,"Winnu, Sardakk N'orr, Keleres ~ Xxcha,","Winnu"," Sardakk N'orr"," Keleres ~ Xxcha","","","","",""
2102,"Sardakk N'orr, Yin Brotherhood, Federation of Sol,","Sardakk N'orr"," Yin Brotherhood"," Federation of Sol","","","","",""
2177,"Radiant Aur, Avarice Rex, El Nen Janovet,","Radiant Aur"," Avarice Rex"," El Nen Janovet","","","","",""
2181,"Deepwrought Scholarate, L1Z1X Mindnet, Crimson Rebellion,","Deepwrought Scholarate"," L1Z1X Mindnet"," Crimson Rebellion","","","","",""
2184,"Titans of Ul, Crimson Rebellion, Sardakk N'orr,","Titans of Ul"," Crimson Rebellion"," Sardakk N'orr","","","","",""
2228,"Xxcha Kingdom, Crimson Rebellion, Barony of Letnev,","Xxcha Kingdom"," Crimson Rebellion"," Barony of Letnev","","","","",""
2234,"Deepwrought Scholarate, Ghosts of Creuss, Last Bastion,","Deepwrought Scholarate"," Ghosts of Creuss"," Last Bastion","","","","",""
2259,"Il Na Viroset, El Nen Janovet, Radiant Aur,","Il Na Viroset"," El Nen Janovet"," Radiant Aur","","","","",""
2269,"Naalu Collective, Deepwrought Scholarate, Federation of Sol,","Naalu Collective"," Deepwrought Scholarate"," Federation of Sol","","","","",""
2279,"The Saint of Swords, Avarice Rex, Il Sai Lakoe Herald of Thorns,","The Saint of Swords"," Avarice Rex"," Il Sai Lakoe Herald of Thorns","","","","",""
2285,"The L1Z1X Mindnet, The Xxcha Kingdom, The Crimson Rebellion,","The L1Z1X Mindnet"," The Xxcha Kingdom"," The Crimson Rebellion","","","","",""
2311,"Embers of Muaat, Yin Brotherhood, Yssaril Tribes,","Embers of Muaat"," Yin Brotherhood"," Yssaril Tribes","","","","",""
2340,"Emirates of Hacan, Clan of Saar, Yin Brotherhood,","Emirates of Hacan"," Clan of Saar"," Yin Brotherhood","","","","",""
2357,"Avarice Rex, A Sickening Lurch, The Saint of Swords,","Avarice Rex"," A Sickening Lurch"," The Saint of Swords","","","","",""
2365,"Ral Nel Consortium, Naaz-Rokha Alliance, Barony of Letnev,","Ral Nel Consortium"," Naaz-Rokha Alliance"," Barony of Letnev","","","","",""
2401,"Yin Brotherhood, Argent Flight, Ral Nel Consortium,","Yin Brotherhood"," Argent Flight"," Ral Nel Consortium","","","","",""
2422,"The Mentak Coalition, The Vuil'raith Cabal, The Naaz-Rokha Alliance,","The Mentak Coalition"," The Vuil'raith Cabal"," The Naaz-Rokha Alliance","","","","",""
2423,"Xxcha Kingdom, Arborec, Naaz-Rokha Alliance,","Xxcha Kingdom"," Arborec"," Naaz-Rokha Alliance","","","","",""
2425,"Barony of Letnev, Mahact Gene-Sorcerers, Last Bastion,","Barony of Letnev"," Mahact Gene-Sorcerers"," Last Bastion","","","","",""
2430,"Arborec, Clan of Saar, Universities of Jol-Nar,","Arborec"," Clan of Saar"," Universities of Jol-Nar","","","","",""
2439,"Radiant Aur, El Nen Janovet, The Saint of Swords,","Radiant Aur"," El Nen Janovet"," The Saint of Swords","","","","",""
2457,"Yin Brotherhood, Sardakk N'orr, Naaz-Rokha Alliance,","Yin Brotherhood"," Sardakk N'orr"," Naaz-Rokha Alliance","","","","",""
2465,"Nomad, Xxcha Kingdom, Sardakk N'orr,","Nomad"," Xxcha Kingdom"," Sardakk N'orr","","","","",""
2475,"Avarice Rex, The Saint of Swords, El Nen Janovet,","Avarice Rex"," The Saint of Swords"," El Nen Janovet","","","","",""
2485,"The Saint of Swords, Radiant Aur, Il Sai Lakoe Herald of Thorns,","The Saint of Swords"," Radiant Aur"," Il Sai Lakoe Herald of Thorns","","","","",""
2487,"The Titans of Ul, The Universities of Jol-Nar, The Empyrean,","The Titans of Ul"," The Universities of Jol-Nar"," The Empyrean","","","","",""
2492,"Winnu, Naaz-Rokha Alliance, Empyrean,","Winnu"," Naaz-Rokha Alliance"," Empyrean","","","","",""
2516,"The Nomad, The Arborec, The Empyrean,","The Nomad"," The Arborec"," The Empyrean","","","","",""
2531,"Clan of Saar, Empyrean, Last Bastion,","Clan of Saar"," Empyrean"," Last Bastion","","","","",""
2546,"Last Bastion, Argent Flight, Arborec,","Last Bastion"," Argent Flight"," Arborec","","","","",""
2549,"Il Na Viroset, Avarice Rex, A Sickening Lurch,","Il Na Viroset"," Avarice Rex"," A Sickening Lurch","","","","",""
2551,"The Xxcha Kingdom, The Federation of Sol, The Nekro Virus,","The Xxcha Kingdom"," The Federation of Sol"," The Nekro Virus","","","","",""
2578,"Naalu Collective, L1Z1X Mindnet, Barony of Letnev,","Naalu Collective"," L1Z1X Mindnet"," Barony of Letnev","","","","",""
2605,"Ral Nel Consortium, Firmament, Crimson Rebellion,","Ral Nel Consortium"," Firmament"," Crimson Rebellion","","","","",""
2606,"Empyrean, Winnu, Argent Flight,","Empyrean"," Winnu"," Argent Flight","","","","",""
2611,"Il Sai Lakoe Herald of Thorns, A Sickening Lurch, Il Na Viroset,","Il Sai Lakoe Herald of Thorns"," A Sickening Lurch"," Il Na Viroset","","","","",""
2632,"Yin Brotherhood, Naalu Collective, Naaz-Rokha Alliance,","Yin Brotherhood"," Naalu Collective"," Naaz-Rokha Alliance","","","","",""
2634,"Universities of Jol-Nar, Sardakk N'orr, L1Z1X Mindnet,","Universities of Jol-Nar"," Sardakk N'orr"," L1Z1X Mindnet","","","","",""
2651,"Federation of Sol, Firmament, Xxcha Kingdom,","Federation of Sol"," Firmament"," Xxcha Kingdom","","","","",""
2678,"Firmament, Crimson Rebellion, Last Bastion,","Firmament"," Crimson Rebellion"," Last Bastion","","","","",""
2682,"Avarice Rex, The Saint of Swords, The Ruby Monarch,","Avarice Rex"," The Saint of Swords"," The Ruby Monarch","","","","",""
2688,"Yssaril Tribes, Vuil'raith Cabal, Universities of Jol-Nar,","Yssaril Tribes"," Vuil'raith Cabal"," Universities of Jol-Nar","","","","",""
2704,"Barony of Letnev, Universities of Jol-Nar, Sardakk N'orr,","Barony of Letnev"," Universities of Jol-Nar"," Sardakk N'orr","","","","",""
2721,"Sardakk N'orr, Titans of Ul, L1Z1X Mindnet,","Sardakk N'orr"," Titans of Ul"," L1Z1X Mindnet","","","","",""
2741,"The Universities of Jol-Nar, The Argent Flight, Sardakk N'orr,","The Universities of Jol-Nar"," The Argent Flight"," Sardakk N'orr","","","","",""
2743,"A Sickening Lurch, The Saint of Swords, Il Sai Lakoe Herald of Thorns,","A Sickening Lurch"," The Saint of Swords"," Il Sai Lakoe Herald of Thorns","","","","",""
2744,"Empyrean, Ral Nel Consortium, Mahact Gene-Sorcerers,","Empyrean"," Ral Nel Consortium"," Mahact Gene-Sorcerers","","","","",""
2757,"Sardakk N'orr, Titans of Ul, Arborec,","Sardakk N'orr"," Titans of Ul"," Arborec","","","","",""
2776,"El Nen Janovet, Radiant Aur, Il Sai Lakoe Herald of Thorns,","El Nen Janovet"," Radiant Aur"," Il Sai Lakoe Herald of Thorns","","","","",""
2796,"Naaz-Rokha Alliance, Universities of Jol-Nar, Sardakk N'orr,","Naaz-Rokha Alliance"," Universities of Jol-Nar"," Sardakk N'orr","","","","",""
2819,"Mahact Gene-Sorcerers, Nomad, Naaz-Rokha Alliance,","Mahact Gene-Sorcerers"," Nomad"," Naaz-Rokha Alliance","","","","",""
2824,"Embers of Muaat, Firmament, Naalu Collective,","Embers of Muaat"," Firmament"," Naalu Collective","","","","",""
2849,"L1Z1X Mindnet, Titans of Ul, Argent Flight,","L1Z1X Mindnet"," Titans of Ul"," Argent Flight","","","","",""
2889,"Crimson Rebellion, Last Bastion, Deepwrought Scholarate,","Crimson Rebellion"," Last Bastion"," Deepwrought Scholarate","","","","",""
2902,"Embers of Muaat, Last Bastion, Yssaril Tribes,","Embers of Muaat"," Last Bastion"," Yssaril Tribes","","","","",""
2939,"Titans of Ul, Vuil'raith Cabal, Deepwrought Scholarate,","Titans of Ul"," Vuil'raith Cabal"," Deepwrought Scholarate","","","","",""
2963,"Vuil'raith Cabal, L1Z1X Mindnet, Barony of Letnev,","Vuil'raith Cabal"," L1Z1X Mindnet"," Barony of Letnev","","","","",""
2983,"Deepwrought Scholarate, Firmament, Keleres ~ Mentak,","Deepwrought Scholarate"," Firmament"," Keleres ~ Mentak","","","","",""
3004,"Titans of Ul, Emirates of Hacan, Vuil'raith Cabal,","Titans of Ul"," Emirates of Hacan"," Vuil'raith Cabal","","","","",""
3015,"Vuil'raith Cabal, Yin Brotherhood, Federation of Sol,","Vuil'raith Cabal"," Yin Brotherhood"," Federation of Sol","","","","",""
3045,"Xxcha Kingdom, Federation of Sol, Arborec,","Xxcha Kingdom"," Federation of Sol"," Arborec","","","","",""
3048,"Mentak Coalition, Sardakk N'orr, Federation of Sol,","Mentak Coalition"," Sardakk N'orr"," Federation of Sol","","","","",""
3049,"Yssaril Tribes, Deepwrought Scholarate, Argent Flight,","Yssaril Tribes"," Deepwrought Scholarate"," Argent Flight","","","","",""
3052,"Nomad, Universities of Jol-Nar, Sardakk N'orr,","Nomad"," Universities of Jol-Nar"," Sardakk N'orr","","","","",""
3057,"Winnu, Vuil'raith Cabal, Arborec,","Winnu"," Vuil'raith Cabal"," Arborec","","","","",""
3059,"Last Bastion, Mentak Coalition, Naaz-Rokha Alliance,","Last Bastion"," Mentak Coalition"," Naaz-Rokha Alliance","","","","",""
3111,"Ral Nel Consortium, Mentak Coalition, Titans of Ul,","Ral Nel Consortium"," Mentak Coalition"," Titans of Ul","","","","",""
3113,"Radiant Aur, The Saint of Swords, Il Sai Lakoe Herald of Thorns,","Radiant Aur"," The Saint of Swords"," Il Sai Lakoe Herald of Thorns","","","","",""
3121,"Embers of Muaat, Naalu Collective, L1Z1X Mindnet,","Embers of Muaat"," Naalu Collective"," L1Z1X Mindnet","","","","",""
3130,"Firmament, Arborec, Keleres ~ Mentak,","Firmament"," Arborec"," Keleres ~ Mentak","","","","",""
3143,"Keleres ~ Mentak, Ral Nel Consortium, Crimson Rebellion,","Keleres ~ Mentak"," Ral Nel Consortium"," Crimson Rebellion","","","","",""
3188,"Clan of Saar, Titans of Ul, Naaz-Rokha Alliance,","Clan of Saar"," Titans of Ul"," Naaz-Rokha Alliance","","","","",""
