Index,WinningFaction
7014,L1Z1XMindnet
7034,NaazRokhaAlliance
7046,Winnu
7098,YssarilTribes
7121,NaaluCollective
7140,ClanofSaar
7236,ArgentFlight
7281,UniversitiesofJolNar
7287,L1Z1XMindnet
7359,Winnu
7404,MentakCoalition
7448,Empyrean
7544,FederationofSol
7552,TitansofUl
7581,FederationofSol
7599,Vuil'raithCabal
7608,EmbersofMuaat
7616,MahactGeneSorcerers
7630,MahactGeneSorcerers
7638,FederationofSol
7672,GhostsofCreuss
7684,NaaluCollective
7689,Nomad
7711,MahactGeneSorcerers
7758,Nomad
7793,MahactGeneSorcerers
7809,EmbersofMuaat
7904,KeleresMentak
7933,UniversitiesofJolNar
7993,BaronyofLetnev
8002,EmbersofMuaat
8062,XxchaKingdom
8070,ClanofSaar
8078,L1Z1XMindnet
8079,ClanofSaar
8151,NaazRokhaAlliance
8234,EmbersofMuaat
8312,ArgentFlight
8352,BaronyofLetnev
8373,Winnu
8386,Vuil'raithCabal
8443,Winnu
8462,Vuil'raithCabal
8486,Vuil'raithCabal
8509,KeleresMentak
8529,YinBrotherhood
8532,Vuil'raithCabal
8535,MentakCoalition
8546,XxchaKingdom
8631,L1Z1XMindnet
8632,Empyrean
8656,Winnu
8680,Winnu
8687,Vuil'raithCabal
8720,ArgentFlight
8814,NekroVirus
8833,TitansofUl
8843,NaazRokhaAlliance
8851,SardakkN'orr
8865,ArgentFlight
8955,Vuil'raithCabal
9001,Empyrean
9074,BaronyofLetnev
9105,UniversitiesofJolNar
9117,YssarilTribes
9230,Nomad
9232,MentakCoalition
9248,TitansofUl
9250,Vuil'raithCabal
9267,YssarilTribes
9381,ClanofSaar
9388,Arborec
9390,NaaluCollective
9395,Empyrean
9426,FederationofSol
9434,YssarilTribes
9442,KeleresMentak
9449,EmbersofMuaat
9453,EmiratesofHacan
9456,FederationofSol
9465,YinBrotherhood
9478,FederationofSol
9519,NekroVirus
9540,Winnu
9556,Vuil'raithCabal
9564,FederationofSol
9598,BaronyofLetnev
9615,TitansofUl
9625,Nomad
9645,Empyrean
9666,TitansofUl
9677,NaazRokhaAlliance
9722,ClanofSaar
9749,UniversitiesofJolNar
9753,Empyrean
9776,ArgentFlight
9780,XxchaKingdom
9781,YssarilTribes
9790,Vuil'raithCabal
9798,KeleresMentak
9808,UniversitiesofJolNar
9827,YssarilTribes
9846,TitansofUl
9881,SardakkN'orr
9897,GhostsofCreuss
9918,Vuil'raithCabal
9990,YssarilTribes
10005,MahactGeneSorcerers
10012,Winnu
10080,FederationofSol
10094,EmiratesofHacan
10155,SardakkN'orr
10156,BaronyofLetnev
10175,YssarilTribes
10181,EmiratesofHacan
10296,Vuil'raithCabal
10333,NekroVirus
10342,NaazRokhaAlliance
10402,MahactGeneSorcerers
10435,NaazRokhaAlliance
10494,TitansofUl
10536,UniversitiesofJolNar
10560,BaronyofLetnev
10626,EmbersofMuaat
10635,YssarilTribes
10732,Vuil'raithCabal
10735,Vuil'raithCabal
10772,TitansofUl
10775,L1Z1XMindnet
10777,ArgentFlight
10780,EmbersofMuaat
10781,Empyrean
10811,ClanofSaar
10824,EmiratesofHacan
10840,FederationofSol
10876,ArgentFlight
10894,UniversitiesofJolNar
10898,UniversitiesofJolNar
10908,YinBrotherhood
10913,KeleresMentak
10920,EmiratesofHacan
10942,GhostsofCreuss
10946,TitansofUl
10987,TitansofUl
11017,Nomad
11034,MahactGeneSorcerers
11051,ArgentFlight
11054,ClanofSaar
11067,NaaluCollective
11073,Vuil'raithCabal
11088,UniversitiesofJolNar
11153,Winnu
11161,EmbersofMuaat
11182,Vuil'raithCabal
11204,Vuil'raithCabal
11206,NekroVirus
11208,Vuil'raithCabal
11215,YssarilTribes
11216,Empyrean
11224,MahactGeneSorcerers
11235,XxchaKingdom
11285,ClanofSaar
11295,NaaluCollective
11321,YssarilTribes
11335,FederationofSol
11339,Winnu
11340,EmiratesofHacan
11362,Arborec
11369,GhostsofCreuss
11398,NaaluCollective
11413,TitansofUl
11430,GhostsofCreuss
11431,KeleresMentak
11435,XxchaKingdom
11455,KeleresMentak
11478,GhostsofCreuss
11492,BaronyofLetnev
11516,Empyrean
11524,NaazRokhaAlliance
11546,Empyrean
11594,Vuil'raithCabal
11650,Arborec
11663,TitansofUl
11703,Empyrean
11716,Empyrean
11718,TitansofUl
11733,NekroVirus
11752,MahactGeneSorcerers
11812,Vuil'raithCabal
11831,EmbersofMuaat
11931,Vuil'raithCabal
11987,NaazRokhaAlliance
11989,ClanofSaar
12004,Vuil'raithCabal
12035,NaazRokhaAlliance
12083,MahactGeneSorcerers
12138,MahactGeneSorcerers
12160,NaazRokhaAlliance
12316,YssarilTribes
12379,MahactGeneSorcerers
12431,Winnu
12437,YinBrotherhood
12445,MahactGeneSorcerers
12484,ClanofSaar
12507,EmbersofMuaat
12555,MahactGeneSorcerers
12593,NaazRokhaAlliance
12632,UniversitiesofJolNar
12640,SardakkN'orr
12675,KeleresXxcha
12698,NaazRokhaAlliance
12870,NekroVirus
12902,Vuil'raithCabal
12906,TitansofUl
12924,TitansofUl
13010,NekroVirus
13093,KeleresMentak
13188,EmiratesofHacan
13240,Winnu
13364,ClanofSaar
13449,Nomad
13872,ArgentFlight
14037,TitansofUl
14390,Vuil'raithCabal
14561,EmiratesofHacan
14569,ArgentFlight
14775,EmbersofMuaat
1337,YssarilTribes
1351,Arborec
2019,Nomad
2535,Nomad
2726,XxchaKingdom
3017,MahactGeneSorcerers
3660,NaaluCollective
3699,FederationofSol
3739,Nomad
3773,Empyrean
3805,ClanofSaar
3814,YssarilTribes
3825,FederationofSol
4007,Winnu
4038,Nomad
4064,NekroVirus
4102,XxchaKingdom
4104,NaaluCollective
4109,NekroVirus
4177,YssarilTribes
4219,ArgentFlight
4222,Empyrean
4262,ClanofSaar
4281,ArgentFlight
4294,MahactGeneSorcerers
4297,NaaluCollective
4304,Winnu
4322,Arborec
4335,BaronyofLetnev
4352,Vuil'raithCabal
4369,MahactGeneSorcerers
4374,EmbersofMuaat
4429,EmiratesofHacan
4452,NaazRokhaAlliance
4466,BaronyofLetnev
4476,YssarilTribes
4494,NaazRokhaAlliance
4510,MahactGeneSorcerers
4604,Vuil'raithCabal
4609,FederationofSol
4611,SardakkN'orr
4614,UniversitiesofJolNar
4654,NekroVirus
4671,ClanofSaar
4728,Empyrean
4732,MahactGeneSorcerers
4768,NekroVirus
4909,BaronyofLetnev
4970,GhostsofCreuss
4972,Vuil'raithCabal
4990,KeleresMentak
5107,Winnu
5119,NaazRokhaAlliance
5240,MahactGeneSorcerers
5309,ClanofSaar
5331,FederationofSol
5351,Arborec
5402,GhostsofCreuss
5403,Vuil'raithCabal
5425,L1Z1XMindnet
5447,NaazRokhaAlliance
5449,NaazRokhaAlliance
5457,YssarilTribes
5476,Vuil'raithCabal
5478,ClanofSaar
5556,ArgentFlight
5561,NaazRokhaAlliance
5607,FederationofSol
5633,Vuil'raithCabal
5701,NaaluCollective
5718,Vuil'raithCabal
5721,Empyrean
5724,Empyrean
5743,MahactGeneSorcerers
5747,Empyrean
5753,UniversitiesofJolNar
5760,UniversitiesofJolNar
5784,FederationofSol
5812,YssarilTribes
5815,YssarilTribes
5933,UniversitiesofJolNar
5936,YssarilTribes
5983,KeleresMentak
5986,YssarilTribes
6033,EmiratesofHacan
6038,ClanofSaar
6136,NaazRokhaAlliance
6154,XxchaKingdom
6176,UniversitiesofJolNar
6283,UniversitiesofJolNar
6322,Nomad
6332,Vuil'raithCabal
6453,BaronyofLetnev
6522,EmiratesofHacan
6533,YssarilTribes
6562,NaazRokhaAlliance
6701,ClanofSaar
6752,BaronyofLetnev
6805,EmbersofMuaat
6869,EmiratesofHacan
6886,NekroVirus
6926,ClanofSaar
6964,UniversitiesofJolNar
6983,Winnu
7025,SardakkN'orr
7071,Nomad
7075,MahactGeneSorcerers
7102,EmbersofMuaat
7108,YinBrotherhood
7176,YssarilTribes
7178,Nomad
7211,Nomad
7220,Winnu
7247,XxchaKingdom
7248,EmiratesofHacan
7255,SardakkN'orr
7259,NaazRokhaAlliance
7316,FederationofSol
7367,Empyrean
7483,EmiratesofHacan
7526,Vuil'raithCabal
7556,XxchaKingdom
7666,NaazRokhaAlliance
7681,MahactGeneSorcerers
7709,NekroVirus
7830,NaazRokhaAlliance
7843,Vuil'raithCabal
7844,NekroVirus
7855,NaazRokhaAlliance
7866,XxchaKingdom
7877,SardakkN'orr
7956,YssarilTribes
8011,ClanofSaar
8034,FederationofSol
8037,NaaluCollective
8055,Vuil'raithCabal
8098,ClanofSaar
8142,NekroVirus
8147,L1Z1XMindnet
8158,EmbersofMuaat
8161,ArgentFlight
8162,FederationofSol
8166,UniversitiesofJolNar
8198,UniversitiesofJolNar
8211,L1Z1XMindnet
8212,MahactGeneSorcerers
8245,FederationofSol
8261,KeleresXxcha
8263,YssarilTribes
8294,XxchaKingdom
8333,MahactGeneSorcerers
8355,SardakkN'orr
8413,EmiratesofHacan
8474,ClanofSaar
8531,GhostsofCreuss
8567,Nomad
8570,UniversitiesofJolNar
8597,YssarilTribes
8604,KeleresMentak
8655,FederationofSol
8670,MentakCoalition
8674,Nomad
8750,EmbersofMuaat
8796,GhostsofCreuss
8812,EmiratesofHacan
8875,MentakCoalition
8943,NaazRokhaAlliance
8961,NekroVirus
8964,UniversitiesofJolNar
9005,KeleresMentak
9033,FederationofSol
9044,NekroVirus
9046,Arborec
9068,FederationofSol
9113,Nomad
9170,NaazRokhaAlliance
9185,SardakkN'orr
9205,UniversitiesofJolNar
9225,SardakkN'orr
9288,ArgentFlight
9325,NekroVirus
9347,FederationofSol
9372,Nomad
9408,L1Z1XMindnet
9418,MahactGeneSorcerers
9460,MahactGeneSorcerers
9524,Vuil'raithCabal
9535,Nomad
9586,MahactGeneSorcerers
9593,ArgentFlight
9667,Winnu
9671,FederationofSol
9704,YssarilTribes
9716,Nomad
9723,NaazRokhaAlliance
9746,Vuil'raithCabal
9778,ClanofSaar
9785,ArgentFlight
9815,Winnu
9835,BaronyofLetnev
9854,KeleresMentak
9905,FederationofSol
9921,NaazRokhaAlliance
9944,UniversitiesofJolNar
9950,FederationofSol
9955,MahactGeneSorcerers
9959,KeleresMentak
9977,MahactGeneSorcerers
9984,YssarilTribes
10061,YssarilTribes
10179,Winnu
10192,Vuil'raithCabal
10215,XxchaKingdom
10219,YssarilTribes
10220,BaronyofLetnev
10221,MahactGeneSorcerers
10263,ClanofSaar
10268,L1Z1XMindnet
10344,KeleresMentak
10345,KeleresMentak
10366,NaazRokhaAlliance
10373,EmiratesofHacan
10374,MahactGeneSorcerers
10413,MahactGeneSorcerers
10414,MentakCoalition
10423,KeleresMentak
10424,YssarilTribes
10510,YssarilTribes
10515,YssarilTribes
10531,MentakCoalition
10549,MahactGeneSorcerers
10624,UniversitiesofJolNar
10678,UniversitiesofJolNar
10688,Winnu
10743,KeleresMentak
10753,KeleresXxcha
10758,UniversitiesofJolNar
10795,NaazRokhaAlliance
10841,KeleresArgent
10915,Empyrean
10925,UniversitiesofJolNar
10943,UniversitiesofJolNar
10944,Winnu
10962,YssarilTribes
10965,Winnu
10969,Empyrean
10993,EmbersofMuaat
11008,YinBrotherhood
11027,Vuil'raithCabal
11028,Winnu
11086,NaaluCollective
11122,MahactGeneSorcerers
11157,Vuil'raithCabal
11180,Empyrean
11254,UniversitiesofJolNar
11274,YssarilTribes
11341,ClanofSaar
11401,YssarilTribes
11452,UniversitiesofJolNar
11463,NaazRokhaAlliance
11469,EmiratesofHacan
11490,YssarilTribes
11576,KeleresMentak
11578,Winnu
11628,NaaluCollective
11647,ClanofSaar
11658,Nomad
11661,FederationofSol
11698,Vuil'raithCabal
11701,EmiratesofHacan
11771,NaazRokhaAlliance
11944,UniversitiesofJolNar
11956,SardakkN'orr
11974,EmiratesofHacan
11978,FederationofSol
12025,NaazRokhaAlliance
12094,NaazRokhaAlliance
12150,NekroVirus
12210,GhostsofCreuss
12229,NaazRokhaAlliance
12438,MahactGeneSorcerers
12552,NaazRokhaAlliance
12595,Empyrean
12677,EmiratesofHacan
12748,NaaluCollective
12761,YssarilTribes
12807,ClanofSaar
12891,ClanofSaar
12922,EmiratesofHacan
13032,L1Z1XMindnet
13172,L1Z1XMindnet
13268,NaazRokhaAlliance
13281,MentakCoalition
13309,EmbersofMuaat
13418,ClanofSaar
13469,ArgentFlight
13482,Arborec
13660,NekroVirus
13940,ClanofSaar
13991,L1Z1XMindnet
14084,MahactGeneSorcerers
14215,SardakkN'orr
14319,FederationofSol
14395,UniversitiesofJolNar
2811,TitansofUl
3735,TitansofUl
4028,TitansofUl
4076,TitansofUl
4214,TitansofUl
4443,TitansofUl
4594,TitansofUl
4601,TitansofUl
4876,TitansofUl
4962,TitansofUl
5132,TitansofUl
5260,TitansofUl
5321,TitansofUl
5345,TitansofUl
5493,TitansofUl
5704,TitansofUl
5720,TitansofUl
5888,TitansofUl
6002,TitansofUl
6030,TitansofUl
6052,TitansofUl
6059,TitansofUl
6314,TitansofUl
6324,TitansofUl
6514,TitansofUl
6612,TitansofUl
6740,TitansofUl
7076,TitansofUl
7221,TitansofUl
7235,TitansofUl
7519,TitansofUl
7561,TitansofUl
7695,TitansofUl
8369,TitansofUl
8406,TitansofUl
8599,TitansofUl
8661,TitansofUl
8946,TitansofUl
9077,TitansofUl
9085,TitansofUl
9240,TitansofUl
9577,TitansofUl
9627,TitansofUl
9683,TitansofUl
10083,TitansofUl
10096,TitansofUl
10304,TitansofUl
10310,TitansofUl
10312,TitansofUl
10388,TitansofUl
10403,TitansofUl
11172,TitansofUl
11352,TitansofUl
11379,TitansofUl
11667,TitansofUl
11878,TitansofUl
11953,TitansofUl
11965,TitansofUl
12107,TitansofUl
12198,TitansofUl
12225,TitansofUl
12475,TitansofUl
12598,TitansofUl
13333,TitansofUl
13359,TitansofUl
1336,NaazRokhaAlliance
3748,NaazRokhaAlliance
3992,NaazRokhaAlliance
4078,NaazRokhaAlliance
4187,NaazRokhaAlliance
4231,NaazRokhaAlliance
4348,NaazRokhaAlliance
4354,NaazRokhaAlliance
4753,NaazRokhaAlliance
4834,NaazRokhaAlliance
4877,NaazRokhaAlliance
4883,NaazRokhaAlliance
4968,NaazRokhaAlliance
5104,NaazRokhaAlliance
5159,NaazRokhaAlliance
5168,NaazRokhaAlliance
5193,NaazRokhaAlliance
5249,NaazRokhaAlliance
5279,NaazRokhaAlliance
5370,NaazRokhaAlliance
5431,NaazRokhaAlliance
5763,NaazRokhaAlliance
5794,NaazRokhaAlliance
5831,NaazRokhaAlliance
5858,NaazRokhaAlliance
6019,NaazRokhaAlliance
6152,NaazRokhaAlliance
6197,NaazRokhaAlliance
6217,NaazRokhaAlliance
6428,NaazRokhaAlliance
6677,NaazRokhaAlliance
6704,NaazRokhaAlliance
6803,NaazRokhaAlliance
6809,NaazRokhaAlliance
6917,NaazRokhaAlliance
6945,NaazRokhaAlliance
7167,NaazRokhaAlliance
7273,NaazRokhaAlliance
7276,NaazRokhaAlliance
7504,NaazRokhaAlliance
7545,NaazRokhaAlliance
7618,NaazRokhaAlliance
7652,NaazRokhaAlliance
7691,NaazRokhaAlliance
7761,NaazRokhaAlliance
7859,NaazRokhaAlliance
8077,NaazRokhaAlliance
8139,NaazRokhaAlliance
8598,NaazRokhaAlliance
8878,NaazRokhaAlliance
8934,NaazRokhaAlliance
8958,NaazRokhaAlliance
9154,NaazRokhaAlliance
9450,NaazRokhaAlliance
9482,NaazRokhaAlliance
9761,NaazRokhaAlliance
9773,NaazRokhaAlliance
9810,NaazRokhaAlliance
9912,NaazRokhaAlliance
10062,NaazRokhaAlliance
10142,NaazRokhaAlliance
10196,NaazRokhaAlliance
10248,NaazRokhaAlliance
10313,NaazRokhaAlliance
10399,NaazRokhaAlliance
10522,NaazRokhaAlliance
10553,NaazRokhaAlliance
10587,NaazRokhaAlliance
10608,NaazRokhaAlliance
10684,NaazRokhaAlliance
11107,NaazRokhaAlliance
11247,NaazRokhaAlliance
11426,NaazRokhaAlliance
11790,NaazRokhaAlliance
12179,NaazRokhaAlliance
12201,NaazRokhaAlliance
12435,NaazRokhaAlliance
12455,NaazRokhaAlliance
12656,NaazRokhaAlliance
12691,NaazRokhaAlliance
13120,NaazRokhaAlliance
13133,NaazRokhaAlliance
13173,NaazRokhaAlliance
14183,NaazRokhaAlliance
1663,NekroVirus
2943,NekroVirus
3669,NekroVirus
3705,MahactGeneSorcerers
3717,Empyrean
3757,UniversitiesofJolNar
3816,Arborec
3823,Arborec
3850,UniversitiesofJolNar
3907,Arborec
3957,BaronyofLetnev
3976,TitansofUl
3984,MahactGeneSorcerers
3988,KeleresMentak
4004,NekroVirus
4055,NaaluCollective
4084,Empyrean
4089,NekroVirus
4159,TitansofUl
4199,UniversitiesofJolNar
4242,XxchaKingdom
4283,FederationofSol
4317,MahactGeneSorcerers
4370,NaaluCollective
4393,GhostsofCreuss
4403,FederationofSol
4432,MahactGeneSorcerers
4435,MahactGeneSorcerers
4469,NaaluCollective
4472,NekroVirus
4489,MahactGeneSorcerers
4551,FederationofSol
4579,Arborec
4582,NekroVirus
4633,FederationofSol
4735,Nomad
4778,Empyrean
4811,Empyrean
4813,Nomad
4844,YssarilTribes
4953,YinBrotherhood
5030,XxchaKingdom
5045,EmbersofMuaat
5083,NekroVirus
5143,L1Z1XMindnet
5217,GhostsofCreuss
5341,YinBrotherhood
5380,YssarilTribes
5385,TitansofUl
5418,NaaluCollective
5484,Nomad
5550,KeleresMentak
5559,XxchaKingdom
5560,SardakkN'orr
5578,Nomad
5614,TitansofUl
5666,TitansofUl
5736,ArgentFlight
5758,ArgentFlight
5779,Winnu
5795,UniversitiesofJolNar
5806,ClanofSaar
5903,MahactGeneSorcerers
5904,ClanofSaar
5923,YssarilTribes
5954,MentakCoalition
5958,ClanofSaar
5979,L1Z1XMindnet
6035,YssarilTribes
6056,NekroVirus
6057,EmiratesofHacan
6062,NaaluCollective
6079,Empyrean
6094,MahactGeneSorcerers
6111,FederationofSol
6158,KeleresMentak
6170,MahactGeneSorcerers
6193,MahactGeneSorcerers
6282,FederationofSol
6364,TitansofUl
6387,UniversitiesofJolNar
6403,XxchaKingdom
6405,ArgentFlight
6408,Empyrean
6448,NaaluCollective
6465,MentakCoalition
6486,MentakCoalition
6543,GhostsofCreuss
6574,NaaluCollective
6584,KeleresArgent
6597,XxchaKingdom
6609,L1Z1XMindnet
6632,KeleresXxcha
6635,FederationofSol
6644,TitansofUl
6645,EmbersofMuaat
6646,NekroVirus
6660,XxchaKingdom
6766,FederationofSol
6782,TitansofUl
6824,SardakkN'orr
6853,MahactGeneSorcerers
6904,MahactGeneSorcerers
6925,XxchaKingdom
6928,NekroVirus
6965,EmbersofMuaat
7175,UniversitiesofJolNar
7184,MentakCoalition
7197,YssarilTribes
7330,NaaluCollective
7381,YinBrotherhood
7387,UniversitiesofJolNar
7398,Nomad
7494,SardakkN'orr
7551,Vuil'raithCabal
7568,YssarilTribes
7628,TitansofUl
7631,TitansofUl
7738,YssarilTribes
7780,Winnu
7796,UniversitiesofJolNar
7819,NekroVirus
7849,KeleresArgent
7868,Nomad
7914,ClanofSaar
7938,KeleresMentak
7949,FederationofSol
7970,YssarilTribes
7983,EmiratesofHacan
7987,Nomad
8029,TitansofUl
8066,Vuil'raithCabal
8101,KeleresXxcha
8138,Vuil'raithCabal
8141,ClanofSaar
8169,YssarilTribes
8183,NekroVirus
8190,YssarilTribes
8202,ClanofSaar
8224,MahactGeneSorcerers
8387,ClanofSaar
8428,EmiratesofHacan
8429,YssarilTribes
8446,Empyrean
8478,YssarilTribes
8497,YssarilTribes
8514,UniversitiesofJolNar
8527,ArgentFlight
8539,YinBrotherhood
8540,KeleresArgent
8548,UniversitiesofJolNar
8560,Nomad
8573,Winnu
8663,UniversitiesofJolNar
8745,ArgentFlight
8888,KeleresMentak
8901,Empyrean
9057,YssarilTribes
9069,YssarilTribes
9075,UniversitiesofJolNar
9084,Winnu
9104,EmbersofMuaat
9118,MentakCoalition
9124,ClanofSaar
9142,NaaluCollective
9144,ClanofSaar
9222,Vuil'raithCabal
9241,EmbersofMuaat
9322,Arborec
9328,FederationofSol
9370,NekroVirus
9398,NekroVirus
9410,Empyrean
9484,TitansofUl
9571,UniversitiesofJolNar
9584,YinBrotherhood
9604,EmiratesofHacan
9650,SardakkN'orr
9654,Empyrean
9686,MahactGeneSorcerers
9687,YssarilTribes
9698,Nomad
9763,SardakkN'orr
9837,KeleresMentak
9858,EmbersofMuaat
9872,TitansofUl
9882,ArgentFlight
9895,MahactGeneSorcerers
9903,YssarilTribes
9914,EmbersofMuaat
9994,MahactGeneSorcerers
10030,FederationofSol
10052,YssarilTribes
10075,XxchaKingdom
10109,ArgentFlight
10164,ArgentFlight
10165,FederationofSol
10184,TitansofUl
10230,MahactGeneSorcerers
10264,NaaluCollective
10297,MahactGeneSorcerers
10336,KeleresMentak
10355,XxchaKingdom
10360,YssarilTribes
10451,Winnu
10503,TitansofUl
10554,YssarilTribes
10584,FederationofSol
10601,GhostsofCreuss
10622,TitansofUl
10629,Nomad
10691,YinBrotherhood
10786,ArgentFlight
10798,FederationofSol
10817,Nomad
10846,MahactGeneSorcerers
10873,ArgentFlight
10884,XxchaKingdom
10887,Empyrean
10897,Empyrean
10904,YssarilTribes
10916,XxchaKingdom
10984,L1Z1XMindnet
10995,ArgentFlight
11007,MahactGeneSorcerers
11037,EmiratesofHacan
11066,MahactGeneSorcerers
11074,EmiratesofHacan
11120,GhostsofCreuss
11129,Vuil'raithCabal
11258,NaaluCollective
11275,ClanofSaar
11333,ArgentFlight
11344,MentakCoalition
11351,MahactGeneSorcerers
11383,YssarilTribes
11410,L1Z1XMindnet
11415,Vuil'raithCabal
11583,TitansofUl
11674,YinBrotherhood
11675,EmbersofMuaat
11702,YssarilTribes
11769,MahactGeneSorcerers
11805,UniversitiesofJolNar
11806,XxchaKingdom
11827,EmiratesofHacan
11841,YssarilTribes
11842,NekroVirus
11858,NekroVirus
11883,Empyrean
11898,YinBrotherhood
11955,Nomad
11964,TitansofUl
11976,TitansofUl
12007,FederationofSol
12072,MentakCoalition
12076,MentakCoalition
12140,FederationofSol
12217,YssarilTribes
12337,NekroVirus
12428,FederationofSol
12446,ClanofSaar
12447,Nomad
12524,ClanofSaar
12566,SardakkN'orr
12585,YssarilTribes
12611,Empyrean
12613,Empyrean
12633,L1Z1XMindnet
12742,YssarilTribes
12864,Nomad
12952,TitansofUl
12954,Empyrean
13023,Arborec
13149,TitansofUl
13267,ClanofSaar
13330,UniversitiesofJolNar
14038,Empyrean
14184,Vuil'raithCabal
14247,GhostsofCreuss
14446,L1Z1XMindnet
14568,Empyrean
1358,L1Z1XMindnet
2922,UniversitiesofJolNar
3271,Empyrean
3651,ArgentFlight
3664,XxchaKingdom
3676,GhostsofCreuss
3744,FederationofSol
3750,Vuil'raithCabal
3754,Arborec
3813,Arborec
3826,YssarilTribes
3844,Empyrean
3875,NekroVirus
3908,FederationofSol
3934,EmiratesofHacan
3987,NekroVirus
4040,Nomad
4059,MahactGeneSorcerers
4063,ArgentFlight
4070,NekroVirus
4100,Winnu
4107,NaazRokhaAlliance
4115,BaronyofLetnev
4169,XxchaKingdom
4182,MentakCoalition
4211,GhostsofCreuss
4282,GhostsofCreuss
4291,Nomad
4359,L1Z1XMindnet
4387,Arborec
4422,NaaluCollective
4488,ClanofSaar
4513,Arborec
4516,ClanofSaar
4536,NaazRokhaAlliance
4568,Nomad
4577,GhostsofCreuss
4607,NekroVirus
4612,EmiratesofHacan
4644,MahactGeneSorcerers
4697,BaronyofLetnev
4703,ArgentFlight
4741,KeleresMentak
4764,NaazRokhaAlliance
4781,EmbersofMuaat
4800,XxchaKingdom
4892,YssarilTribes
4985,GhostsofCreuss
4994,ArgentFlight
5039,ClanofSaar
5041,Nomad
5086,XxchaKingdom
5089,ClanofSaar
5134,TitansofUl
5146,NaazRokhaAlliance
5151,Winnu
5164,XxchaKingdom
5221,ArgentFlight
5270,Nomad
5278,YssarilTribes
5327,ArgentFlight
5328,Empyrean
5354,Nomad
5358,XxchaKingdom
5397,MentakCoalition
5456,Empyrean
5499,XxchaKingdom
5562,Empyrean
5567,UniversitiesofJolNar
5601,ArgentFlight
